name,level,group,n,n_eff,K_eff,alpha_cv,s2,v_cv,v_cv_fold,v_cv_delta,v_cv_delta_cl,n_clusters,alpha_shift,v_shift,Z_heur,factor_cv_heur,Z_bs1,a_bs1,factor_cv_bs1,Z_bsmean,a_bsmean,theta_bsmean,factor_cv_bsmean,Z_shift_bs1,a_shift_bs1,factor_shift_bs1,Z_bs1_cl,a_bs1_cl,factor_cv_bs1_cl,Z_zcv,factor_cv_zcv,dev_lag,duan_S,isotonic,has_record,n_estimators_cap
random_forest__per_dy__log1p__two_stage,dy,2,28988.0,16192.0,3.0,1.8978236922759977,0.0765560921395798,0.0015059768251372,0.0255186973798599,0.0015059768251372,0.0015059768251372,28988.0,1.897763574672485,0.0015057746036131,1.0,1.8978236922759977,0.9997864169042796,7.049505340609814,1.89763193231239,0.9989658215631424,1.4547000041401512,2.9952718747467992,1.898958649521877,0.9997855599273014,7.020384232539891,1.897571058186266,0.9997864169042796,7.049505340609814,1.89763193231239,0.9,1.8080413230483976,,,,,
random_forest__per_dy__log1p__two_stage,dy,3,25377.0,4799.0,3.0,2.317983855418785,0.3839123930756257,0.0074787307567968,0.1279707976918752,0.0074787307567968,0.0074787307567968,25377.0,2.317725027334523,0.0074757508156213,1.0,2.317983855418785,0.9989402369792584,7.049505340609814,2.316587104866878,0.9948852143870608,1.4547000041401512,2.9952718747467992,2.32144803843586,0.9989362692436492,7.020384232539891,2.316323322694534,0.9989402369792584,7.049505340609814,2.316587104866878,0.9,2.1861854698769063,,,,,
random_forest__per_dy__log1p__two_stage,dy,4,21277.0,1929.0,3.0,2.6982173445233526,0.220018918290991,0.0304192123728281,0.0733396394303303,0.0304192123728281,0.0304192123728281,21277.0,2.6975237937419903,0.0303936870871125,1.0,2.6982173445233526,0.995703455291764,7.049505340609814,2.6909208777783062,0.9795173262627012,1.4547000041401512,2.9952718747467992,2.704301815548106,0.995689314365936,7.020384232539891,2.6902063023108247,0.995703455291764,7.049505340609814,2.6909208777783062,0.9,2.5283956100710174,,,,,
random_forest__per_dy__log1p__two_stage,dy,5,17162.0,753.0,3.0,4.219651858871944,7.245216135080656,0.7528037172500819,2.415072045026885,0.7528037172500819,0.7528037172500818,17162.0,4.216334353770645,0.7512692797674868,0.138038496791934,1.4444359027920393,0.9035152655877272,7.049505340609814,3.909004604368704,0.6589796384234479,1.4547000041401512,2.9952718747467992,3.802113353978494,0.9033321186311564,7.020384232539891,3.9054181260178074,0.9035152655877272,7.049505340609814,3.909004604368704,0.9,3.89768667298475,,,,,
random_forest__per_dy__log1p__two_stage,dy,6,12899.0,236.0,3.0,6.293069746736249,5.027881167440233,4.715826000294465,1.6759603891467445,4.715826000294465,4.715826000294465,12899.0,6.283244017451684,4.698573942351755,0.1989881956155143,2.053258398170114,0.5991760993675501,7.049505340609814,4.171480884529812,0.235749756681147,1.4547000041401512,2.9952718747467992,3.772726920651917,0.5990621459492326,7.020384232539891,4.164991498668051,0.5991760993675501,7.049505340609814,4.171480884529812,0.9,5.763762772062624,,,,,
random_forest__per_dy__log1p__two_stage,dy,7,9190.0,82.0,3.0,4.0874652668546005,5.06662105057129,1.5685948523645743,1.6888736835237632,1.5685948523645743,1.5685948523645752,9190.0,4.082261649038593,1.5629661229459006,0.1975903614457831,1.6100533780291018,0.8179883248928438,7.049505340609814,3.525510541799232,0.4811637875843677,1.4547000041401512,2.9952718747467992,3.5207957840680075,0.8179072205823479,7.020384232539891,3.5210040584727196,0.8179883248928438,7.049505340609814,3.525510541799232,0.9,3.7787187401691407,,,,,
random_forest__per_dy__log1p__two_stage,dy,8,5691.0,20.0,3.0,2.925564607402686,2.920367828346885,0.6269313681315498,0.9734559427822947,0.6269313681315498,0.6269313681315499,5691.0,2.904286929063603,0.6132111331627917,0.3448275862068966,1.663987795656099,0.9183304191881572,7.049505340609814,2.7683045530899877,0.6988269025522157,1.4547000041401512,2.9952718747467992,2.946558561023333,0.9196694213164724,7.020384232539891,2.7513144580724456,0.9183304191881572,7.049505340609814,2.7683045530899877,0.9,2.733008146662417,,,,,
random_forest__per_dy__log1p__two_stage,type,__global__,28988.0,16192.0,3.0,1.8978236922759977,0.0765560921395798,0.0015059768251372,0.0255186973798599,0.0015059768251372,0.0015059768251372,28988.0,1.897763574672485,0.0015057746036131,1.0,,,,,,,,,,,,,,,,,2.0,,,,
random_forest__per_dy__log1p__two_stage,type,Annuity,92.0,51.0,3.0,3.6164503594597366,23.799765345853828,1.1146952362733282,7.933255115284609,1.1146952362733282,1.1146952362733282,92.0,3.6164195702915234,1.1146674834591397,0.0420445177246496,1.1100073935139707,0.7639751716786958,3.608092803448818,2.998903112557038,0.4594479495551811,0.947447040970923,2.620725844673713,3.078209431313979,0.763922970329056,3.606958695135276,2.9987430097641727,0.7639751716786958,3.608092803448818,2.998903112557038,,,2.0,,,,
random_forest__per_dy__log1p__two_stage,type,Bodily,2857.0,1698.0,3.0,2.8555934340757942,0.5829353176189983,0.0344254283321605,0.1943117725396661,0.0344254283321605,0.0344254283321605,2857.0,2.855509313351735,0.0344222899970833,1.0,2.8555934340757942,0.9905490031506778,3.608092803448818,2.838056226376721,0.9649390023567976,0.947447040970923,2.620725844673713,2.847358742077303,0.9905469133447918,3.606958695135276,2.837969023023075,0.9905490031506778,3.608092803448818,2.838056226376721,,,2.0,,,,
