scenario,seed,dy,n,alpha_hat,se,alpha_0,se_alpha_0,n_pool,cover
S-A,seed08,10,1976,0.36533431632701796,0.13822692997476255,0.5555127929020539,0.014638833541489238,19579,1.0
S-A,seed09,1,19209,1.5351932308043625,0.03343803780740769,1.5104238409240127,0.0030003583280352477,191752,1.0
S-A,seed09,2,17872,1.2284584652007238,0.038640929724149765,1.2061280537286685,0.003847884946266353,177946,1.0
S-A,seed09,3,16022,1.0355576480162647,0.04195557892581347,1.004387811710042,0.004980795429309839,159174,1.0
S-A,seed09,4,14031,0.9488756845995351,0.047915868983037416,0.9140971752021998,0.006501326399142036,139514,1.0
S-A,seed09,5,12056,1.0531230694662252,0.1511199671892215,0.8558831508174528,0.007877994021157363,119679,1.0
S-A,seed09,6,10049,0.8315658567740548,0.06439790343556809,0.7894625656731209,0.008839466412734531,99989,1.0
S-A,seed09,7,8032,0.9285484789873204,0.13375316502052387,0.7294931050299486,0.009739942672675727,79655,1.0
S-A,seed09,8,6040,0.646035041853895,0.07407333912232529,0.6706433573822833,0.010640918496425272,59539,1.0
S-A,seed09,9,4100,0.5830171986951779,0.0820166902238916,0.6135974220715061,0.011879225044444542,39600,1.0
S-A,seed09,10,2058,0.46877999450223984,0.09628609559992131,0.5555127929020539,0.014638833541489238,19579,1.0
S-B,seed00,1,19002,1.507098150412388,0.0320906214046652,1.512426277400761,0.0030676275146858424,190163,1.0
S-B,seed00,2,17753,1.2822443335149951,0.034877243231279505,1.2430036228878367,0.003906188743953034,177676,1.0
S-B,seed00,3,15990,1.0974636627974872,0.052044164096434205,1.0468356887999262,0.005125832939800396,159581,1.0
S-B,seed00,4,14031,0.8602143042804952,0.040822607022174086,0.9518700072195705,0.006725470952215712,139747,0.0
S-B,seed00,5,11980,0.8985090572685343,0.06168443722385387,0.8713604527676473,0.008114683503376947,120084,1.0
S-B,seed00,6,9965,0.7552102401788615,0.05899021380063274,0.787205506935779,0.00940801594314051,99822,1.0
S-B,seed00,7,7939,0.6421788041971572,0.12833037604111558,0.6855268768058888,0.01066816152569502,79816,1.0
