dy,replicates,coverage_pop,coverage_cond,mean_alpha_hat,mean_alpha_pop,mean_rel_bias_pop_pct,se_over_sd,misses_below,misses_above
2,30,0.9333333333333333,1.0,1.8840092983307948,1.8440210907238437,2.2044962109991437,1.0159155651156266,0.0,2.0
3,30,1.0,1.0,1.8257600177225082,1.7825409563171055,2.5353854996929996,1.2540717103298098,0.0,0.0
4,30,0.9333333333333333,0.9333333333333333,1.8240148334884418,1.8036420612373603,1.261870882060464,0.8248518981972544,1.0,1.0
5,30,0.9666666666666667,0.9,1.8054294577519934,1.761425948506351,2.9134302311091225,0.8443509897808836,0.0,1.0
6,30,0.9333333333333333,0.9666666666666667,1.7637714490137981,1.7428483067036766,1.4723158921952437,1.0532102356051718,1.0,1.0
7,30,0.7333333333333333,0.8666666666666667,1.813628723492846,1.8198697947394455,0.5988704356239435,0.6981355215746086,6.0,2.0
8,30,0.8666666666666667,0.9333333333333333,1.7835440146750607,1.7674264199128824,3.235616110347543,0.797569833256284,2.0,2.0
9,30,0.9666666666666667,0.9666666666666667,2.015857979604504,1.6710942236445103,22.354348596364947,0.923163364811954,0.0,1.0
all,240,0.9166666666666666,0.9458333333333333,,,4.572041732299175,,10.0,10.0
