dev_lag,target,n_P,n_P_pos,n_Q,alpha_P,alpha_Q_iw,transfer_term_iw,realised_ratio,realised_se,auc,ess,ess_share,rho_max
2,h1,28988,16192,2799,1.951392927073386,2.0645041653867877,0.1131112383134016,1.7985480015195674,0.0968378555361396,0.7141023982869948,16958.146069936633,0.5850057289201267,10.394448561577546
2,lower,28988,16192,2799,1.951392927073386,2.0645041653867877,0.1131112383134016,1.7985480015195674,0.0968378555361396,0.7141023982869948,16958.146069936633,0.5850057289201267,10.394448561577546
3,h1,25377,4799,4307,2.382047532568573,2.724885808751152,0.342838276182579,2.7936278598242485,0.4273988375172806,0.6785455640069187,16489.569112791563,0.6497840214679262,15.886931194920953
3,lower,25377,4799,7106,2.382047532568573,2.3160476657690454,-0.0659998667995274,1.002650999617917,0.1354549667206317,0.7246625891408391,13210.529736850722,0.5205709791090641,15.129530707985015
4,h1,21277,1929,4225,2.8358528236080276,3.1882288543941018,0.3523760307860741,2.9259517065794434,0.4829958413985588,0.6940680786236659,11359.021878339126,0.5338638848681264,15.948730288314396
4,lower,21277,1929,11331,2.8358528236080276,2.6109791097322184,-0.2248737138758092,0.8824042949863862,0.122890013479709,0.7555016092413775,7341.61603066804,0.3450493975028453,43.09531176745202
5,h1,17162,753,4138,4.185835092564239,5.520523216881924,1.334688124317685,1.442170063541408,0.2827930842684243,0.6685800803409288,12324.897224053102,0.7181504034525755,6.421043513884397
5,lower,17162,753,15469,4.185835092564239,2.694505990776404,-1.491329101787835,0.7955790847831868,0.182764275766327,0.7708665147113833,4847.629137742352,0.2824629494081315,41.78296483206595
6,h1,12899,236,4263,6.165867461488064,5.726364650363689,-0.4395028111243748,2.8227767415597267,1.0584142185198009,0.6712477206798949,9127.55026074642,0.7076168897392372,6.73627583112484
6,lower,12899,236,19732,6.165867461488064,4.074982504947292,-2.090884956540772,1.251680649881919,0.3945859630837105,0.7798486206366175,2539.626177556461,0.1968855087647461,64.11961538171214
7,h1,9190,82,3709,4.026224497470225,3.4877013055304205,-0.5385231919398046,1.4226655064334186,0.5552092574875864,0.6850380115303452,6605.510881961473,0.7187715867205086,6.871925542730235
7,lower,9190,82,23441,4.026224497470225,1.8216283017386548,-2.20459619573157,5.634765947113275,1.9700582803539957,0.7923458562578267,1495.7425103047349,0.1627576180962714,81.12935068842279
8,h1,5691,20,3499,2.8987177097057195,5.121183205976777,2.2224654962710577,12.726341370770404,6.030307336568434,0.6395484434164964,4200.004960653345,0.7380082517401766,5.353912262942317
8,lower,5691,20,26940,2.8987177097057195,3.843189960262692,0.9444722505569728,50.634538035362866,18.32570068768213,0.7991395392795799,470.299849122516,0.0826392284523837,132.87320937009488
9,h1,2698,9,2993,2.4612026178426785,2.096828221689817,-0.3643743961528614,4.090546425223935,1.2877131648677058,0.6419738470565246,1865.2997768883492,0.6913638906183652,6.346572147949821
9,lower,2698,9,29933,2.4612026178426785,2.334806804699095,-0.1263958131435836,11.570806012138451,4.191512874206634,0.8186352844802861,426.9721097108427,0.1582550443702159,90.04449938195295
