scenario,dy,design,predictor,n,reps,n_all_zero_Y,alpha_n,alpha_P,V_n,mean_alpha_hat,sd_alpha_hat,coverage_alpha_n,coverage_alpha_n_Vn,coverage_alpha_P,mean_se_plugin,se_Vn,se_over_sd,sd_sqrtn_over_sqrtVn,bias_rel,misses_below,misses_above,mu_Y_folds,m_folds
S-A,2,random,f1,15000,2000,0,1.209519688862977,1.209519688862977,25.194622276377604,1.2074358333954118,0.04158476815543231,0.9325,0.9485,0.9325,0.040371062758609744,0.04098342939642607,0.970813702933582,1.0146727291459576,-0.0017228785002450172,113,22,3833.1;3833.1;3833.1,3169.11;3169.11;3169.11
S-A,2,random,f2,15000,2000,0,7.182296151610542,7.182296151610543,1503.0419124897558,7.176659264998274,0.3241547838935085,0.943,0.945,0.943,0.3144659165682044,0.31654824934910586,0.9701103676184304,1.024029621266405,-0.000784830713365115,84,30,3833.1;3833.1;3833.1,533.688;533.688;533.688
S-A,3,random,f1,600,2000,0,1.007649905501887,1.007649905501887,30.827424558220685,0.9992097271543321,0.22234069756725963,0.8725,0.9615,0.8725,0.19819251813752367,0.2266694530155482,0.8913910962142638,0.9809027842494876,-0.008376101959093711,248,7,2743.24;2743.24;2743.24,2722.42;2722.42;2722.42
S-A,3,random,f2,600,2000,0,5.0803958425833,5.080395842583299,1045.8676825304765,5.223521346091078,1.4595085165553627,0.892,0.9385,0.892,1.2898430452282301,1.3202699739892068,0.8837516400880168,1.105462174637999,0.028172116492993792,214,2,2743.24;2743.24;2743.24,539.967;539.967;539.967
S-A,3,random,f1,3000,2000,0,1.007649905501887,1.007649905501887,30.827424558220685,1.007125063951623,0.09956411346807617,0.93,0.953,0.93,0.0966852598989528,0.10136966107309209,0.971085429590588,0.9821884813868123,-0.0005208570431043695,129,11,2743.24;2743.24;2743.24,2722.42;2722.42;2722.42
S-A,3,random,f2,3000,2000,0,5.0803958425833,5.080395842583299,1045.8676825304765,5.11095919009538,0.5914722749184327,0.935,0.9535,0.935,0.5798220383597366,0.590442682098349,0.9803029878952437,1.0017437642150542,0.006015938218022492,119,11,2743.24;2743.24;2743.24,539.967;539.967;539.967
S-A,3,random,f1,15000,2000,0,1.007649905501887,1.007649905501887,30.827424558220685,1.0100855232391481,0.04370548318108191,0.955,0.966,0.955,0.04493101451183637,0.04533389060310963,1.0280406768568786,0.964079689601668,0.00241712694454922,69,21,2743.24;2743.24;2743.24,2722.42;2722.42;2722.42
S-A,3,random,f2,15000,2000,0,5.0803958425833,5.080395842583299,1045.8676825304765,5.093360424752563,0.2639447998279504,0.951,0.9485,0.951,0.2632184740507929,0.26405399479784136,0.9972481906154964,0.999586467267899,0.0025518842568515382,76,22,2743.24;2743.24;2743.24,539.967;539.967;539.967
S-A,4,random,f1,600,2000,0,0.9196986540225316,0.9196986540225316,38.07299809925165,0.9179942350227872,0.2518046267240833,0.8745,0.959,0.8745,0.21661194090726668,0.25190275272828216,0.8602381287640942,0.9996104607705312,-0.0018532363750775125,245,6,2180.45;2180.45;2180.45,2370.83;2370.83;2370.83
S-A,4,random,f2,600,2000,0,3.797344720135092,3.797344720135092,700.4556829606787,3.918553859926247,1.2166884192598237,0.8975,0.9335,0.8975,1.0101447319070684,1.0804749595746297,0.8302411002823493,1.1260681318693582,0.03191944601406715,202,3,2180.45;2180.45;2180.45,574.203;574.203;574.203
S-A,4,random,f1,3000,2000,0,0.9196986540225316,0.9196986540225316,38.07299809925165,0.9193044050821858,0.11419382051689374,0.9155,0.958,0.9155,0.10645608656691286,0.11265433576395191,0.9322403443990547,1.0136655614939452,-0.00042867186835757675,155,14,2180.45;2180.45;2180.45,2370.83;2370.83;2370.83
S-A,4,random,f2,3000,2000,0,3.797344720135092,3.797344720135092,700.4556829606787,3.814516268327741,0.48981097075570795,0.919,0.9545,0.919,0.464225529673746,0.4832030915190419,0.9477646630852565,1.0136751592708004,0.004521988246576265,147,15,2180.45;2180.45;2180.45,574.203;574.203;574.203
