kind,scenario,dy,group,n,empirical,analytic,se,z,quad_rel_err,expected_active,normal_approx_ok
moment_formula,-,,clipped_mean m0=2.0,10000000,12.818731164766985,12.8161969748535,0.00689840052346633,0.36735905734440666,2.220446049250313e-16,,
moment_formula,-,,clipped_second m0=2.0,10000000,640.1991189082439,638.5271036499422,2.7011277126878395,0.6190063692463925,4.440892098500626e-16,,
moment_formula,-,,pos_part_mean m0=2.0,10000000,2.016372427858864,2.0164138415600816,0.000342212155672937,-0.12101762176228936,0.0,,
moment_formula,-,,clipped_mean m0=3.0,10000000,36.49927715487753,36.52566787463704,0.018705322470301516,-1.4108668696519497,0.0,,
moment_formula,-,,clipped_second m0=3.0,10000000,4831.087770119145,4840.719015925965,20.170860144453002,-0.4774831483559274,2.220446049250313e-16,,
moment_formula,-,,pos_part_mean m0=3.0,10000000,3.000627905239593,3.0012516909030165,0.00035238430993894546,-1.7701856916709102,0.0,,
moment_formula,-,,clipped_mean m0=7.0,10000000,2047.0098455578861,2047.7804650201258,1.0223833543434233,-0.7537480524950042,-1.1102230246251565e-16,,
moment_formula,-,,clipped_second m0=7.0,10000000,14642925.494928297,14646622.868023477,52661.11304915249,-0.07021069022467887,2.220446049250313e-16,,
moment_formula,-,,pos_part_mean m0=7.0,10000000,6.999680874200505,7.0000000000326015,0.00035363098073089164,-0.9024261150322822,2.220446049250313e-16,,
moment_formula,-,,clipped_mean m0=10.5,10000000,67875.84056570564,67845.29106328034,33.932254119197715,0.9003086655542683,0.0,,
moment_formula,-,,clipped_second m0=10.5,10000000,16121107277.201324,16066329029.040352,56936365.75698573,0.9620959721028849,2.220446049250313e-16,,
moment_formula,-,,pos_part_mean m0=10.5,10000000,10.500109734421466,10.5,0.0003535765514049045,0.3103554832185036,2.220446049250313e-16,,
"upper P(c,r|k)",S-A,1.0,Material r=1,192263,0.7834892829093482,0.7824309024563162,0.0009409655968703854,1.1247812423239725,,,
"upper P(c,r|k)",S-A,1.0,Technical r=1,192263,0.07205234496496986,0.07293725909441948,0.0005930365022542897,-1.492174808946543,,,
