scenario,dy,weighting,predictor,n,reps,n_folds,w_realised,w_nominal,alpha_w,alpha_w_nominal,alpha_P,alpha_equal_weight,V_w,mean_alpha_hat,sd_alpha_hat,coverage_alpha_w,coverage_alpha_w_Vw,coverage_alpha_P,coverage_alpha_equal,mean_se_plugin,se_Vw,se_over_sd,sd_sqrtn_over_sqrtVw
S-B,1,data,f2,3000,2000,1091;963;946,0.363667;0.321000;0.315333,0.363530;0.320995;0.315475,5.129784088946247,5.129822545767042,5.148116652994177,5.136219351780203,263.4561164935768,5.135021654353772,0.2984107425085295,0.9375,0.949,0.931,0.936,0.28854163895219437,0.29634221011840167,0.966927787272762,1.0069802151684748
S-B,1,data,f1,15000,2000,5453;4815;4732,0.363533;0.321000;0.315467,0.363530;0.320995;0.315475,1.5193414762561575,1.5193413368102322,1.517898842339595,1.5188354669159776,19.958059834871083,1.5194023671548158,0.0359614971344072,0.948,0.9525,0.948,0.947,0.0359654264728978,0.036476531116935156,1.0001092651531138,0.98588040126741
S-B,1,data,f2,15000,2000,5453;4815;4732,0.363533;0.321000;0.315467,0.363530;0.320995;0.315475,5.12982078523416,5.129822545767042,5.148116652994177,5.136219351780203,263.46069213683404,5.130444540133026,0.13057966217378644,0.9475,0.9555,0.941,0.9445,0.1310187937724461,0.13252941614017472,1.0033629402262905,0.9852881418844701
S-B,1,proportional,f1,600,2000,184;181;235,0.306667;0.301667;0.391667,0.306518;0.300931;0.392551,1.5179102429236833,1.517898842339595,1.517898842339595,1.5188354669159776,19.898836476225352,1.5120129215701672,0.1815321752404423,0.9015,0.96,0.9015,0.9005,0.1633007694549717,0.18211185425549756,0.8995692870350791,0.9968169067443461
S-B,1,proportional,f2,600,2000,184;181;235,0.306667;0.301667;0.391667,0.306518;0.300931;0.392551,5.147971419357339,5.148116652994176,5.148116652994177,5.136219351780203,265.5558462612771,5.141294520735207,0.6609713178231353,0.9135,0.9575,0.9135,0.9155,0.611552367365058,0.6652766921380371,0.9252328366973088,0.9935284455839491
S-B,1,proportional,f1,3000,2000,920;903;1177,0.306667;0.301000;0.392333,0.306518;0.300931;0.392551,1.5179026961682185,1.517898842339595,1.517898842339595,1.5188354669159776,19.89845447868096,1.519389928144461,0.08302708746941266,0.9325,0.9485,0.9325,0.9305,0.07900582125682871,0.08144211539222394,0.9515668159013119,1.0194613323776711
S-B,1,proportional,f2,3000,2000,920;903;1177,0.306667;0.301000;0.392333,0.306518;0.300931;0.392551,5.148067557370855,5.148116652994176,5.148116652994177,5.136219351780203,265.5660411288318,5.158997647074275,0.3043974626690178,0.937,0.9415,0.937,0.9405,0.29083845813294096,0.29752649245001794,0.9554562498084288,1.023093641720507
S-B,1,proportional,f1,15000,2000,4598;4514;5888,0.306533;0.300933;0.392533,0.306518;0.300931;0.392551,1.517899190248672,1.517898842339595,1.517898842339595,1.5188354669159776,19.898276795004605,1.5176033281804016,0.03696100332723677,0.9435,0.9475,0.9435,0.9425,0.03603817080043887,0.03642185863370567,0.9750322652600217,1.0148027781600406
S-B,1,proportional,f2,15000,2000,4598;4514;5888,0.306533;0.300933;0.392533,0.306518;0.300931;0.392551,5.148112220778241,5.148116652994176,5.148116652994177,5.136219351780203,265.57077837431467,5.146613879074219,0.13317031245548175,0.9525,0.9545,0.9525,0.953,0.13196587973667914,0.13305907920276483,0.9909556965317984,1.0008359689048159
S-B,2,data,f1,600,2000,218;193;189,0.363333;0.321667;0.315000,0.363530;0.320995;0.315475,1.244997109307236,1.2450211317191942,1.2487190028238846,1.2490460090905622,25.752753729510047,1.2370497712382997,0.20494085466509152,0.8955,0.9595,0.892,0.892,0.18558084523991566,0.20717445840607399,0.9055336747921081,0.9892187301554111
S-B,2,data,f2,600,2000,218;193;189,0.363333;0.321667;0.315000,0.363530;0.320995;0.315475,6.219800874794281,6.219441755460948,6.164813039042878,6.160043724352415,977.8585130085411,6.35128752019582,1.3861686612881703,0.9255,0.9455,0.93,0.9305,1.253976685592033,1.2766221791695336,0.9046349990532241,1.0858096341314538
S-B,2,data,f1,3000,2000,1091;963;946,0.363667;0.321000;0.315333,0.363530;0.320995;0.315475,1.2449974439812008,1.2450211317191942,1.2487190028238846,1.2490460090905622,25.75274090041477,1.2431409256604207,0.09238992672377037,0.935,0.9555,0.931,0.931,0.08917279369907118,0.09265121136177834,0.9651787468744525,0.9971799112589287
S-B,2,data,f2,3000,2000,1091;963;946,0.363667;0.321000;0.315333,0.363530;0.320995;0.315475,6.219795871257527,6.219441755460948,6.164813039042878,6.160043724352415,977.8544409727538,6.247215389838128,0.5809457135839603,0.939,0.9495,0.9465,0.9465,0.5645940709365554,0.5709216061109014,0.9718534068415299,1.0175577651393206
S-B,2,data,f1,15000,2000,5453;4815;4732,0.363533;0.321000;0.315467,0.363530;0.320995;0.315475,1.2450200849700894,1.2450211317191942,1.2487190028238846,1.2490460090905622,25.752198066035426,1.2450201123286302,0.04167084287049795,0.9385,0.955,0.9335,0.933,0.04087133304624433,0.04143444466144516,0.9808136872407816,1.005705354831816
S-B,2,data,f2,15000,2000,5453;4815;4732,0.363533;0.321000;0.315467,0.363530;0.320995;0.315475,6.219457402521958,6.219441755460948,6.164813039042878,6.160043724352415,977.6516660636554,6.231613025916342,0.25757014681022494,0.9445,0.9415,0.9445,0.944,0.25425534641613184,0.25529742994706595,0.9871304946045032,1.0089022316583065
S-B,2,proportional,f1,600,2000,201;200;199,0.335000;0.333333;0.331667,0.335304;0.333333;0.331363,1.2487695038472366,1.248719002823885,1.2487190028238846,1.2490460090905622,25.660152517246726,1.2492189205174826,0.20540870028604002,0.906,0.9535,0.906,0.906,0.18531261306860533,0.20680164617835584,0.9021653552675711,0.9932643384709111
S-B,2,proportional,f2,600,2000,201;200;199,0.335000;0.333333;0.331667,0.335304;0.333333;0.331363,6.164075847382846,6.16481303904288,6.164813039042878,6.160043724352415,944.7783315049656,6.281229778838759,1.3071076731441378,0.9295,0.9445,0.9295,0.93,1.2187731588196022,1.2548428397645164,0.9324198639947892,1.0416505013404143
S-B,2,proportional,f1,3000,2000,1006;1000;994,0.335333;0.333333;0.331333,0.335304;0.333333;0.331363,1.2487141477130888,1.248719002823885,1.2487190028238846,1.2490460090905622,25.661545095597873,1.251570961664931,0.09179433722669132,0.936,0.951,0.936,0.9355,0.09012707264415647,0.09248701727917973,0.9818369560377407,0.9925105158230209
S-B,2,proportional,f2,3000,2000,1006;1000;994,0.335333;0.333333;0.331333,0.335304;0.333333;0.331363,6.164883924241686,6.16481303904288,6.164813039042878,6.160043724352415,945.2541824305605,6.196877195105828,0.5755320685553803,0.951,0.9445,0.951,0.952,0.5578250089223361,0.5613240841767378,0.9692335829739428,1.025311553127959
S-B,2,proportional,f1,15000,2000,5030;5000;4970,0.335333;0.333333;0.331333,0.335304;0.333333;0.331363,1.2487141477130888,1.248719002823885,1.2487190028238846,1.2490460090905622,25.661545095597873,1.2481917070881159,0.04209225791574184,0.942,0.9455,0.942,0.9405,0.04085612403445025,0.041361451534488704,0.9706327495244845,1.0176687798454984
S-B,2,proportional,f2,15000,2000,5030;5000;4970,0.335333;0.333333;0.331333,0.335304;0.333333;0.331363,6.164883924241686,6.16481303904288,6.164813039042878,6.160043724352415,945.2541824305605,6.16619474318359,0.2501294050453986,0.9505,0.956,0.9505,0.9515,0.2498595861442329,0.2510317619254,0.9989212827611502,0.9964054075345672
S-B,3,data,f1,600,2000,218;193;189,0.363333;0.321667;0.315000,0.363530;0.320995;0.315475,1.0627525686368904,1.0627784570502385,1.053931675608464,1.0685036501146659,31.84362720122861,1.0584186511390217,0.22879670843606745,0.882,0.956,0.891,0.876,0.20459720994153485,0.2303751549148642,0.8942314395169952,0.9931483649815447
S-B,3,data,f2,600,2000,218;193;189,0.363333;0.321667;0.315000,0.363530;0.320995;0.315475,4.479403353647756,4.47925703617003,4.530248517922035,4.447303884812352,692.6488197018832,4.590397402956774,1.1446893700836946,0.914,0.9425,0.9065,0.9175,1.0362586390647985,1.0744369220680843,0.9052749734096263,1.0653853628562837
S-B,3,data,f1,3000,2000,1091;963;946,0.363667;0.321000;0.315333,0.363530;0.320995;0.315475,1.0627455684987877,1.0627784570502385,1.053931675608464,1.0685036501146659,31.84383148695061,1.061977902764861,0.10636844627712826,0.923,0.943,0.933,0.92,0.09860145583127286,0.10302723181591458,0.9269803149552492,1.0324304011893053
S-B,3,data,f2,3000,2000,1091;963;946,0.363667;0.321000;0.315333,0.363530;0.320995;0.315475,4.479442920257743,4.47925703617003,4.530248517922035,4.447303884812352,692.6782076791302,4.4946392466210225,0.4958503896721378,0.928,0.9425,0.9165,0.932,0.46892772811278177,0.48051299242897,0.9457040629187413,1.0319187982111326
S-B,3,data,f1,15000,2000,5453;4815;4732,0.363533;0.321000;0.315467,0.363530;0.320995;0.315475,1.0627770583724854,1.0627784570502385,1.053931675608464,1.0685036501146659,31.842870938525103,1.063456552491935,0.0462672929140749,0.94,0.9475,0.944,0.9345,0.04547441070636334,0.04607448385569111,0.9828630084499637,1.0041847253023537
S-B,3,data,f2,15000,2000,5453;4815;4732,0.363533;0.321000;0.315467,0.363530;0.320995;0.315475,4.479264940863103,4.47925703617003,4.530248517922035,4.447303884812352,692.5446929314998,4.486411118802873,0.21876650995089023,0.9405,0.9455,0.9245,0.9425,0.21338778634082362,0.21487123166080963,0.9754134048613106,1.018128430967574
